phase_code,module_num,module_title,priority,content_tier,self_contained_on_page,blueprint_ref,coverage_notes
P0,1,Ollama Setup & Local Model Running,MUST DO,full,yes,Doc §3 registry — module 1 (P0),Primary learning on-page (Learn/Steps/Code); optional depth via content/modules/m001.json or References tab.
P0,2,LM Studio — GUI for Local LLMs,MUST DO,full,yes,Doc §3 registry — module 2 (P0),Primary learning on-page (Learn/Steps/Code); optional depth via content/modules/m002.json or References tab.
P0,3,Open WebUI — Local ChatGPT Interface,MUST DO,full,yes,Doc §3 registry — module 3 (P0),Primary learning on-page (Learn/Steps/Code); optional depth via content/modules/m003.json or References tab.
P0,4,vLLM — High-Performance Inference,OPTIONAL,full,yes,Doc §3 registry — module 4 (P0),Primary learning on-page (Learn/Steps/Code); optional depth via content/modules/m004.json or References tab.
P0,5,LiteLLM Routing & Load Balancing,MUST DO,full,yes,Doc §3 registry — module 5 (P0),Primary learning on-page (Learn/Steps/Code); optional depth via content/modules/m005.json or References tab.
P0,6,"Free APIs: Groq, Gemini, Mistral, OpenRouter",MUST DO,full,yes,Doc §3 registry — module 6 (P0),Primary learning on-page (Learn/Steps/Code); optional depth via content/modules/m006.json or References tab.
P1,7,Top 40 AI Terms & Core Concepts,MUST DO,full,yes,Doc §2 Image 4 — Top 40 AI Terms; Doc §3 module registry row 7,All 40 terms defined on-page; references optional depth only.
P1,8,How LLMs Work: Transformers & Tokenization,MUST DO,full,yes,Doc §3 registry — module 8 (P1),Primary learning on-page (Learn/Steps/Code); optional depth via content/modules/m008.json or References tab.
P1,9,Embeddings & Vector Representations,MUST DO,full,yes,Doc §3 registry — module 9 (P1),Primary learning on-page (Learn/Steps/Code); optional depth via content/modules/m009.json or References tab.
P1,10,"Inference, Context Windows & Cost Optimisation",MUST DO,full,yes,Doc §3 registry — module 10 (P1),Primary learning on-page (Learn/Steps/Code); optional depth via content/modules/m010.json or References tab.
P1,11,Quantization & Model Efficiency,OPTIONAL,full,yes,Doc §3 registry — module 11 (P1),Primary learning on-page (Learn/Steps/Code); optional depth via content/modules/m011.json or References tab.
P1,12,GPU/TPU & Compute for AI,OPTIONAL,full,yes,Doc §3 registry — module 12 (P1),Primary learning on-page (Learn/Steps/Code); optional depth via content/modules/m012.json or References tab.
P1,13,"ML Paradigms: Supervised, Unsupervised, RL",MUST DO,full,yes,Doc §3 registry — module 13 (P1),Primary learning on-page (Learn/Steps/Code); optional depth via content/modules/m013.json or References tab.
P1,14,Generative AI Pipeline (Input→Process→Output),MUST DO,full,yes,Doc §3 registry — module 14 (P1),Primary learning on-page (Learn/Steps/Code); optional depth via content/modules/m014.json or References tab.
P2,15,Prompt Engineering Fundamentals,MUST DO,full,yes,Doc §3 registry — module 15 (P2),Primary learning on-page (Learn/Steps/Code); optional depth via content/modules/m015.json or References tab.
P2,16,Chain-of-Thought (CoT) Prompting,MUST DO,full,yes,Doc §3 registry — module 16 (P2),Primary learning on-page (Learn/Steps/Code); optional depth via content/modules/m016.json or References tab.
P2,17,Context Management & Context Window,MUST DO,full,yes,Doc §3 registry — module 17 (P2),Primary learning on-page (Learn/Steps/Code); optional depth via content/modules/m017.json or References tab.
P2,18,Multi-Agent & Goal-Oriented Prompts,MUST DO,full,yes,Doc §3 registry — module 18 (P2),Primary learning on-page (Learn/Steps/Code); optional depth via content/modules/m018.json or References tab.
P2,19,"Self-Critique, Retry Loops & Reflexion",MUST DO,full,yes,Doc §3 registry — module 19 (P2),Primary learning on-page (Learn/Steps/Code); optional depth via content/modules/m019.json or References tab.
P2,20,Task Planning Prompts & Role Prompting,MUST DO,full,yes,Doc §3 registry — module 20 (P2),Primary learning on-page (Learn/Steps/Code); optional depth via content/modules/m020.json or References tab.
P2,21,Prompt Chaining & Advanced Techniques,MUST DO,full,yes,Doc §3 registry — module 21 (P2),Primary learning on-page (Learn/Steps/Code); optional depth via content/modules/m021.json or References tab.
P3,22,"OpenAI API Deep Dive (GPT-4, GPT-4o)",MUST DO,full,yes,Doc §3 registry — module 22 (P3),Primary learning on-page (Learn/Steps/Code); optional depth via content/modules/m022.json or References tab.
P3,23,Anthropic Claude API,MUST DO,full,yes,Doc §3 registry — module 23 (P3),Primary learning on-page (Learn/Steps/Code); optional depth via content/modules/m023.json or References tab.
P3,24,Google Gemini API,MUST DO,full,yes,Doc §3 registry — module 24 (P3),Primary learning on-page (Learn/Steps/Code); optional depth via content/modules/m024.json or References tab.
P3,25,"Mistral & Open Source LLMs (LLaMA, DeepSeek)",MUST DO,full,yes,Doc §3 registry — module 25 (P3),Primary learning on-page (Learn/Steps/Code); optional depth via content/modules/m025.json or References tab.
P3,26,API Authentication & Rate Limiting,MUST DO,full,yes,Doc §3 registry — module 26 (P3),Primary learning on-page (Learn/Steps/Code); optional depth via content/modules/m026.json or References tab.
P3,27,Toolformer / Function Calling,MUST DO,full,yes,Doc §3 registry — module 27 (P3),Primary learning on-page (Learn/Steps/Code); optional depth via content/modules/m027.json or References tab.
P3,28,Tool Invocation & Output Parsing,MUST DO,full,yes,Doc §3 registry — module 28 (P3),Primary learning on-page (Learn/Steps/Code); optional depth via content/modules/m028.json or References tab.
P3,29,Multimodal AI (Text + Image + Audio + Video),MUST DO,full,yes,Doc §3 registry — module 29 (P3),Primary learning on-page (Learn/Steps/Code); optional depth via content/modules/m029.json or References tab.
P4,30,What Are AI Agents? Autonomous vs Semi-Auto,MUST DO,full,yes,Doc §3 registry — module 30 (P4),Primary learning on-page (Learn/Steps/Code); optional depth via content/modules/m030.json or References tab.
P4,31,"Agent Architectures: ReAct, CAMEL, AutoGPT",MUST DO,full,yes,Doc §3 registry — module 31 (P4),Primary learning on-page (Learn/Steps/Code); optional depth via content/modules/m031.json or References tab.
P4,32,Goal Decomposition & Task Planning Algorithms,MUST DO,full,yes,Doc §3 registry — module 32 (P4),Primary learning on-page (Learn/Steps/Code); optional depth via content/modules/m032.json or References tab.
P4,33,Decision-Making Policies for Agents,MUST DO,full,yes,Doc §3 registry — module 33 (P4),Primary learning on-page (Learn/Steps/Code); optional depth via content/modules/m033.json or References tab.
P4,34,Action Planning Loops & Execution,MUST DO,full,yes,Doc §3 registry — module 34 (P4),Primary learning on-page (Learn/Steps/Code); optional depth via content/modules/m034.json or References tab.
P4,35,Self-Reflection / Feedback Loops,MUST DO,full,yes,Doc §3 registry — module 35 (P4),Primary learning on-page (Learn/Steps/Code); optional depth via content/modules/m035.json or References tab.
P4,36,Multi-Agent Collaboration Patterns,MUST DO,full,yes,Doc §3 registry — module 36 (P4),Primary learning on-page (Learn/Steps/Code); optional depth via content/modules/m036.json or References tab.
P5,37,Tool Use System Design,MUST DO,full,yes,Doc §3 registry — module 37 (P5),Primary learning on-page (Learn/Steps/Code); optional depth via content/modules/m037.json or References tab.
P5,38,Memory Integration (Short/Long-Term/Episodic),MUST DO,full,yes,Doc §3 registry — module 38 (P5),Primary learning on-page (Learn/Steps/Code); optional depth via content/modules/m038.json or References tab.
P5,39,External API Calling from Agents,MUST DO,full,yes,Doc §3 registry — module 39 (P5),Primary learning on-page (Learn/Steps/Code); optional depth via content/modules/m039.json or References tab.
P5,40,File Reader/Writer Tools,MUST DO,full,yes,Doc §3 registry — module 40 (P5),Primary learning on-page (Learn/Steps/Code); optional depth via content/modules/m040.json or References tab.
P5,41,Python Execution Tools (Code Interpreter),MUST DO,full,yes,Doc §3 registry — module 41 (P5),Primary learning on-page (Learn/Steps/Code); optional depth via content/modules/m041.json or References tab.
P5,42,Search & Retrieval Tools,MUST DO,full,yes,Doc §3 registry — module 42 (P5),Primary learning on-page (Learn/Steps/Code); optional depth via content/modules/m042.json or References tab.
P5,43,Web Browsing Tools for Agents,MUST DO,full,yes,Doc §3 registry — module 43 (P5),Primary learning on-page (Learn/Steps/Code); optional depth via content/modules/m043.json or References tab.
P5,44,AI Search Optimisation (AEO/GEO),OPTIONAL,full,yes,Doc §3 registry — module 44 (P5),Primary learning on-page (Learn/Steps/Code); optional depth via content/modules/m044.json or References tab.
P6,45,LangChain Deep Dive,MUST DO,full,yes,Doc §3 registry — module 45 (P6),Primary learning on-page (Learn/Steps/Code); optional depth via content/modules/m045.json or References tab.
P6,46,LangGraph — Stateful Agent Orchestration,MUST DO,full,yes,Doc §3 registry — module 46 (P6),Primary learning on-page (Learn/Steps/Code); optional depth via content/modules/m046.json or References tab.
P6,47,CrewAI — Multi-Agent Crews,MUST DO,full,yes,Doc §3 registry — module 47 (P6),Primary learning on-page (Learn/Steps/Code); optional depth via content/modules/m047.json or References tab.
P6,48,AutoGen — Conversational Multi-Agent,MUST DO,full,yes,Doc §3 registry — module 48 (P6),Primary learning on-page (Learn/Steps/Code); optional depth via content/modules/m048.json or References tab.
P6,49,Flowise — Visual Agent Builder,OPTIONAL,full,yes,Doc §3 registry — module 49 (P6),Primary learning on-page (Learn/Steps/Code); optional depth via content/modules/m049.json or References tab.
P6,50,AgentOps — Agent Monitoring & Observability,MUST DO,full,yes,Doc §3 registry — module 50 (P6),Primary learning on-page (Learn/Steps/Code); optional depth via content/modules/m050.json or References tab.
P6,51,Haystack — NLP Pipeline Framework,OPTIONAL,full,yes,Doc §3 registry — module 51 (P6),Primary learning on-page (Learn/Steps/Code); optional depth via content/modules/m051.json or References tab.
P6,52,Semantic Kernel (Microsoft),OPTIONAL,full,yes,Doc §3 registry — module 52 (P6),Primary learning on-page (Learn/Steps/Code); optional depth via content/modules/m052.json or References tab.
P6,53,LlamaIndex — Data Framework for LLMs,MUST DO,full,yes,Doc §3 registry — module 53 (P6),Primary learning on-page (Learn/Steps/Code); optional depth via content/modules/m053.json or References tab.
P6,54,"LLM Management: W&B, Arize AI",OPTIONAL,full,yes,Doc §3 registry — module 54 (P6),Primary learning on-page (Learn/Steps/Code); optional depth via content/modules/m054.json or References tab.
P7,55,RAG Architecture & Pipeline Design,MUST DO,full,yes,Doc §3 registry — module 55 (P7),Primary learning on-page (Learn/Steps/Code); optional depth via content/modules/m055.json or References tab.
P7,56,Embedding Models & Semantic Search,MUST DO,full,yes,Doc §3 registry — module 56 (P7),Primary learning on-page (Learn/Steps/Code); optional depth via content/modules/m056.json or References tab.
P7,57,Document Chunking Strategies,MUST DO,full,yes,Doc §3 registry — module 57 (P7),Primary learning on-page (Learn/Steps/Code); optional depth via content/modules/m057.json or References tab.
P7,58,Custom Data Loaders & Document Ingestion,MUST DO,full,yes,Doc §3 registry — module 58 (P7),Primary learning on-page (Learn/Steps/Code); optional depth via content/modules/m058.json or References tab.
P7,59,"Vector DBs: Pinecone, Weaviate, Chroma, FAISS",MUST DO,full,yes,Doc §3 registry — module 59 (P7),Primary learning on-page (Learn/Steps/Code); optional depth via content/modules/m059.json or References tab.
P7,60,Query Refinement & Hybrid Search,MUST DO,full,yes,Doc §3 registry — module 60 (P7),Primary learning on-page (Learn/Steps/Code); optional depth via content/modules/m060.json or References tab.
P7,61,Knowledge Graphs for AI,OPTIONAL,full,yes,Doc §3 registry — module 61 (P7),Primary learning on-page (Learn/Steps/Code); optional depth via content/modules/m061.json or References tab.
P8,62,MCP Architecture & Core Concepts,MUST DO,full,yes,Doc §3 registry — module 62 (P8),Primary learning on-page (Learn/Steps/Code); optional depth via content/modules/m062.json or References tab.
P8,63,"MCP Host, Client & Server Design",MUST DO,full,yes,Doc §3 registry — module 63 (P8),Primary learning on-page (Learn/Steps/Code); optional depth via content/modules/m063.json or References tab.
P8,64,MCP Transport Layer & Communication,MUST DO,full,yes,Doc §3 registry — module 64 (P8),Primary learning on-page (Learn/Steps/Code); optional depth via content/modules/m064.json or References tab.
P8,65,Secure File Access & Sampling in MCP,MUST DO,full,yes,Doc §3 registry — module 65 (P8),Primary learning on-page (Learn/Steps/Code); optional depth via content/modules/m065.json or References tab.
P8,66,"MCP Resources, Prompts & Tools",MUST DO,full,yes,Doc §3 registry — module 66 (P8),Primary learning on-page (Learn/Steps/Code); optional depth via content/modules/m066.json or References tab.
P8,67,Building a Custom MCP Server (Python),MUST DO,full,yes,Doc §3 registry — module 67 (P8),Primary learning on-page (Learn/Steps/Code); optional depth via content/modules/m067.json or References tab.
P8,68,"MCP Integrations: S3, Stripe, Databases",MUST DO,full,yes,Doc §3 registry — module 68 (P8),Primary learning on-page (Learn/Steps/Code); optional depth via content/modules/m068.json or References tab.
P8,69,Claude Desktop + MCP Full Setup,MUST DO,full,yes,Doc §3 registry — module 69 (P8),Primary learning on-page (Learn/Steps/Code); optional depth via content/modules/m069.json or References tab.
P9,70,A2A Protocol Architecture,MUST DO,full,yes,Doc §3 registry — module 70 (P9),Primary learning on-page (Learn/Steps/Code); optional depth via content/modules/m070.json or References tab.
P9,71,Agent Cards & Agent Identity,MUST DO,full,yes,Doc §3 registry — module 71 (P9),Primary learning on-page (Learn/Steps/Code); optional depth via content/modules/m071.json or References tab.
P9,72,Task Delegation & Result Artifacts,MUST DO,full,yes,Doc §3 registry — module 72 (P9),Primary learning on-page (Learn/Steps/Code); optional depth via content/modules/m072.json or References tab.
P9,73,Multi-Agent Distributed Execution,MUST DO,full,yes,Doc §3 registry — module 73 (P9),Primary learning on-page (Learn/Steps/Code); optional depth via content/modules/m073.json or References tab.
P9,74,A2A vs MCP: When to Use Which,MUST DO,full,yes,Doc §3 registry — module 74 (P9),Primary learning on-page (Learn/Steps/Code); optional depth via content/modules/m074.json or References tab.
P10,75,Orchestrator Design & Patterns,MUST DO,full,yes,Doc §3 registry — module 75 (P10),Primary learning on-page (Learn/Steps/Code); optional depth via content/modules/m075.json or References tab.
P10,76,Memory Layer Architecture (3-Tier),MUST DO,full,yes,Doc §3 registry — module 76 (P10),Primary learning on-page (Learn/Steps/Code); optional depth via content/modules/m076.json or References tab.
P10,77,Identity & Agent Security Layer,MUST DO,full,yes,Doc §3 registry — module 77 (P10),Primary learning on-page (Learn/Steps/Code); optional depth via content/modules/m077.json or References tab.
P10,78,"Observability: Logs, Traces, Metrics",MUST DO,full,yes,Doc §3 registry — module 78 (P10),Primary learning on-page (Learn/Steps/Code); optional depth via content/modules/m078.json or References tab.
P10,79,Guardrails & Output Safety Systems,MUST DO,full,yes,Doc §3 registry — module 79 (P10),Primary learning on-page (Learn/Steps/Code); optional depth via content/modules/m079.json or References tab.
P10,80,The 9-Layer Agentic AI Infrastructure Stack,MUST DO,full,yes,Doc §3 registry — module 80 (P10),Primary learning on-page (Learn/Steps/Code); optional depth via content/modules/m080.json or References tab.
P10,81,RBAC & Securing AI Agents (Cryptographic ID),MUST DO,full,yes,Doc §3 registry — module 81 (P10),Primary learning on-page (Learn/Steps/Code); optional depth via content/modules/m081.json or References tab.
P11,82,Fine-Tuning Fundamentals & When to Use It,MUST DO,full,yes,Doc §3 registry — module 82 (P11),Primary learning on-page (Learn/Steps/Code); optional depth via content/modules/m082.json or References tab.
P11,83,LoRA & QLoRA (Efficient Fine-Tuning),MUST DO,full,yes,Doc §3 registry — module 83 (P11),Primary learning on-page (Learn/Steps/Code); optional depth via content/modules/m083.json or References tab.
P11,84,PEFT: Parameter Efficient Fine-Tuning,MUST DO,full,yes,Doc §3 registry — module 84 (P11),Primary learning on-page (Learn/Steps/Code); optional depth via content/modules/m084.json or References tab.
P11,85,Training Data Preparation & Curation,MUST DO,full,yes,Doc §3 registry — module 85 (P11),Primary learning on-page (Learn/Steps/Code); optional depth via content/modules/m085.json or References tab.
P11,86,Domain Adaptation & Model Evaluation,OPTIONAL,full,yes,Doc §3 registry — module 86 (P11),Primary learning on-page (Learn/Steps/Code); optional depth via content/modules/m086.json or References tab.
P12,87,Vibe Coding Philosophy & Toolchain,MUST DO,full,yes,Doc §3 registry — module 87 (P12),Primary learning on-page (Learn/Steps/Code); optional depth via content/modules/m087.json or References tab.
P12,88,"Claude Code: Setup, CLAUDE.md & Workflow",MUST DO,full,yes,Doc §3 registry — module 88 (P12),Primary learning on-page (Learn/Steps/Code); optional depth via content/modules/m088.json or References tab.
P12,89,"Claude Code: Skills, Hooks & Memory System",MUST DO,full,yes,Doc §3 registry — module 89 (P12),Primary learning on-page (Learn/Steps/Code); optional depth via content/modules/m089.json or References tab.
P12,90,Claude Code: 4-Layer Architecture,MUST DO,full,yes,Doc §3 registry — module 90 (P12),Primary learning on-page (Learn/Steps/Code); optional depth via content/modules/m090.json or References tab.
P12,91,Claude Code: Project Structure (Agentic Setup),MUST DO,full,yes,Doc §3 registry — module 91 (P12),Primary learning on-page (Learn/Steps/Code); optional depth via content/modules/m091.json or References tab.
P12,92,Cursor AI — AI-Native IDE,MUST DO,full,yes,Doc §3 registry — module 92 (P12),Primary learning on-page (Learn/Steps/Code); optional depth via content/modules/m092.json or References tab.
P12,93,GitHub Copilot for AI Development,MUST DO,full,yes,Doc §3 registry — module 93 (P12),Primary learning on-page (Learn/Steps/Code); optional depth via content/modules/m093.json or References tab.
P12,94,Lovable & Gamma (No-Code AI Builders),OPTIONAL,full,yes,Doc §3 registry — module 94 (P12),Primary learning on-page (Learn/Steps/Code); optional depth via content/modules/m094.json or References tab.
P13,95,n8n — Open Source Workflow Automation,MUST DO,full,yes,Doc §3 registry — module 95 (P13),Primary learning on-page (Learn/Steps/Code); optional depth via content/modules/m095.json or References tab.
P13,96,Make.com (Integromat) — Visual Automation,MUST DO,full,yes,Doc §3 registry — module 96 (P13),Primary learning on-page (Learn/Steps/Code); optional depth via content/modules/m096.json or References tab.
P13,97,Zapier — Enterprise Integration Automation,MUST DO,full,yes,Doc §3 registry — module 97 (P13),Primary learning on-page (Learn/Steps/Code); optional depth via content/modules/m097.json or References tab.
P13,98,DAG Management & Event-Based Triggers,MUST DO,full,yes,Doc §3 registry — module 98 (P13),Primary learning on-page (Learn/Steps/Code); optional depth via content/modules/m098.json or References tab.
P13,99,Guardrails & Conditional Workflow Logic,MUST DO,full,yes,Doc §3 registry — module 99 (P13),Primary learning on-page (Learn/Steps/Code); optional depth via content/modules/m099.json or References tab.
P14,100,FastAPI — Production API for AI Systems,MUST DO,full,yes,Doc §3 registry — module 100 (P14),Primary learning on-page (Learn/Steps/Code); optional depth via content/modules/m100.json or References tab.
P14,101,Streamlit & Gradio — AI UIs,MUST DO,full,yes,Doc §3 registry — module 101 (P14),Primary learning on-page (Learn/Steps/Code); optional depth via content/modules/m101.json or References tab.
P14,102,Serverless Functions for AI,MUST DO,full,yes,Doc §3 registry — module 102 (P14),Primary learning on-page (Learn/Steps/Code); optional depth via content/modules/m102.json or References tab.
P14,103,Docker for AI Systems,MUST DO,full,yes,Doc §3 registry — module 103 (P14),Primary learning on-page (Learn/Steps/Code); optional depth via content/modules/m103.json or References tab.
P14,104,Kubernetes for AI Scale,OPTIONAL,full,yes,Doc §3 registry — module 104 (P14),Primary learning on-page (Learn/Steps/Code); optional depth via content/modules/m104.json or References tab.
P14,105,Vector DB Hosting & Management,MUST DO,full,yes,Doc §3 registry — module 105 (P14),Primary learning on-page (Learn/Steps/Code); optional depth via content/modules/m105.json or References tab.
P14,106,"Agent Hosting: Replit, Modal, Fly.io",MUST DO,full,yes,Doc §3 registry — module 106 (P14),Primary learning on-page (Learn/Steps/Code); optional depth via content/modules/m106.json or References tab.
P15,107,Agent Evaluation Metrics & Benchmarks,MUST DO,full,yes,Doc §3 registry — module 107 (P15),Primary learning on-page (Learn/Steps/Code); optional depth via content/modules/m107.json or References tab.
P15,108,Human-in-the-Loop Feedback Systems,MUST DO,full,yes,Doc §3 registry — module 108 (P15),Primary learning on-page (Learn/Steps/Code); optional depth via content/modules/m108.json or References tab.
P15,109,LangSmith — Tracing & Debugging LLM Apps,MUST DO,full,yes,Doc §3 registry — module 109 (P15),Primary learning on-page (Learn/Steps/Code); optional depth via content/modules/m109.json or References tab.
P15,110,OpenTelemetry for AI Observability,MUST DO,full,yes,Doc §3 registry — module 110 (P15),Primary learning on-page (Learn/Steps/Code); optional depth via content/modules/m110.json or References tab.
P15,111,Auto-Evaluation Loops,MUST DO,full,yes,Doc §3 registry — module 111 (P15),Primary learning on-page (Learn/Steps/Code); optional depth via content/modules/m111.json or References tab.
P15,112,Prometheus & Grafana for AI Metrics,OPTIONAL,full,yes,Doc §3 registry — module 112 (P15),Primary learning on-page (Learn/Steps/Code); optional depth via content/modules/m112.json or References tab.
P16,113,Prompt Injection Detection & Protection,MUST DO,full,yes,Doc §3 registry — module 113 (P16),Primary learning on-page (Learn/Steps/Code); optional depth via content/modules/m113.json or References tab.
P16,114,API Key Management & Secret Rotation,MUST DO,full,yes,Doc §3 registry — module 114 (P16),Primary learning on-page (Learn/Steps/Code); optional depth via content/modules/m114.json or References tab.
P16,115,User Authentication & RBAC,MUST DO,full,yes,Doc §3 registry — module 115 (P16),Primary learning on-page (Learn/Steps/Code); optional depth via content/modules/m115.json or References tab.
P16,116,Output Filtering & Content Safety,MUST DO,full,yes,Doc §3 registry — module 116 (P16),Primary learning on-page (Learn/Steps/Code); optional depth via content/modules/m116.json or References tab.
P16,117,Red Team Testing for AI Systems,MUST DO,full,yes,Doc §3 registry — module 117 (P16),Primary learning on-page (Learn/Steps/Code); optional depth via content/modules/m117.json or References tab.
P16,118,"Data Privacy, AI Alignment & Compliance",MUST DO,full,yes,Doc §3 registry — module 118 (P16),Primary learning on-page (Learn/Steps/Code); optional depth via content/modules/m118.json or References tab.
P17,119,AI Strategy & Architecture Design,MUST DO,full,yes,Doc §3 registry — module 119 (P17),Primary learning on-page (Learn/Steps/Code); optional depth via content/modules/m119.json or References tab.
P17,120,The 12 AI Skills Matrix for 2026,MUST DO,full,yes,Doc §3 registry — module 120 (P17),Primary learning on-page (Learn/Steps/Code); optional depth via content/modules/m120.json or References tab.
P17,121,Cost Optimisation for AI Systems,MUST DO,full,yes,Doc §3 registry — module 121 (P17),Primary learning on-page (Learn/Steps/Code); optional depth via content/modules/m121.json or References tab.
P17,122,Enterprise AI Implementation Playbook,MUST DO,full,yes,Doc §3 registry — module 122 (P17),Primary learning on-page (Learn/Steps/Code); optional depth via content/modules/m122.json or References tab.
P17,123,AI Consultant Positioning & Pricing,MUST DO,full,yes,Doc §3 registry — module 123 (P17),Primary learning on-page (Learn/Steps/Code); optional depth via content/modules/m123.json or References tab.
P17,124,Stakeholder Communication & Demos,MUST DO,full,yes,Doc §3 registry — module 124 (P17),Primary learning on-page (Learn/Steps/Code); optional depth via content/modules/m124.json or References tab.
P18,125,CAPSTONE 1: AI That Calls You,MUST DO,full,yes,Doc §3 registry — module 125 (P18),Primary learning on-page (Learn/Steps/Code); optional depth via content/modules/m125.json or References tab.
P18,126,CAPSTONE 2: AI Payment Risk Analyst,MUST DO,full,yes,Doc §3 registry — module 126 (P18),Primary learning on-page (Learn/Steps/Code); optional depth via content/modules/m126.json or References tab.
P18,127,CAPSTONE 3: Local Perplexity Clone,MUST DO,full,yes,Doc §3 registry — module 127 (P18),Primary learning on-page (Learn/Steps/Code); optional depth via content/modules/m127.json or References tab.
P19,128,Google Cloud — Generative AI Leader & Vertex AI,MUST DO,full,yes,Doc §3 registry — module 128 (P19),Primary learning on-page (Learn/Steps/Code); optional depth via content/modules/m128.json or References tab.
P19,129,AWS Certified AI Practitioner & Gen AI on AWS,MUST DO,full,yes,Doc §3 registry — module 129 (P19),Primary learning on-page (Learn/Steps/Code); optional depth via content/modules/m129.json or References tab.
P19,130,NVIDIA Generative AI LLM Certifications,MUST DO,full,yes,Doc §3 registry — module 130 (P19),Primary learning on-page (Learn/Steps/Code); optional depth via content/modules/m130.json or References tab.
P19,131,Microsoft Azure AI Engineer (AI-102),MUST DO,full,yes,Doc §3 registry — module 131 (P19),Primary learning on-page (Learn/Steps/Code); optional depth via content/modules/m131.json or References tab.
P19,132,IBM watsonx & Generative AI Engineering,OPTIONAL,full,yes,Doc §3 registry — module 132 (P19),Primary learning on-page (Learn/Steps/Code); optional depth via content/modules/m132.json or References tab.
P19,133,"Hugging Face — LLM, Agents & Open Models",MUST DO,full,yes,Doc §3 registry — module 133 (P19),Primary learning on-page (Learn/Steps/Code); optional depth via content/modules/m133.json or References tab.
